No. Time Source Destination Protocol Length Info
137 1.017793 172.27.136.12 114.212.128.2 TCP 1514 65338  >  80 [ACK] Seq = 104470 Ack = 1 Win = 65536 Len = 1460 [TCP segment of a reassembled PDU]
138 1.017795 172.27.136.12 114.212.128.2 TCP 1514 65338  >  80 [ACK] Seq = 105930 Ack = 1 Win = 65536 Len = 1460 [TCP segment of a reassembled PDU]
139 1.017797 172.27.136.12 114.212.128.2 TCP 1514 65338  >  80 [ACK] Seq = 107390 Ack = 1 Win = 65536 Len = 1460 [TCP segment of a reassembled PDU]
140 1.017799 172.27.136.12 114.212.128.2 TCP 1514 65338  >  80 [ACK] Seq = 108850 Ack = 1 Win = 65536 Len = 1460 [TCP segment of a reassembled PDU]
141 1.0178 172.27.136.12 114.212.128.2 TCP 1514 65338  >  80 [ACK] Seq = 110310 Ack = 1 Win = 65536 Len = 1460 [TCP segment of a reassembled PDU]
142 1.019864 114.212.128.2 172.27.136.12 TCP 60 80  >  65338 [ACK] Seq = 1 Ack = 51910 Win = 64128 Len = 0
143 1.019864 114.212.128.2 172.27.136.12 TCP 60 80  >  65338 [ACK] Seq = 1 Ack = 54830 Win = 64128 Len = 0
144 1.019864 114.212.128.2 172.27.136.12 TCP 60 80  >  65338 [ACK] Seq = 1 Ack = 57750 Win = 64128 Len = 0
145 1.019864 114.212.128.2 172.27.136.12 TCP 60 80  >  65338 [ACK] Seq = 1 Ack = 60670 Win = 64128 Len = 0
146 1.019865 114.212.128.2 172.27.136.12 TCP 60 80  >  65338 [ACK] Seq = 1 Ack = 63590 Win = 64128 Len = 0
147 1.019928 172.27.136.12 114.212.128.2 TCP 1514 65338  >  80 [ACK] Seq = 111770 Ack = 1 Win = 65536 Len = 1460 [TCP segment of a reassembled PDU]
148 1.019933 172.27.136.12 114.212.128.2 TCP 1514 65338  >  80 [ACK] Seq = 113230 Ack = 1 Win = 65536 Len = 1460 [TCP segment of a reassembled PDU]
149 1.019936 172.27.136.12 114.212.128.2 TCP 1514 65338  >  80 [PSH  ACK] Seq = 114690 Ack = 1 Win = 65536 Len = 1460 [TCP segment of a reassembled PDU]
150 1.019939 172.27.136.12 114.212.128.2 TCP 1514 65338  >  80 [ACK] Seq = 116150 Ack = 1 Win = 65536 Len = 1460 [TCP segment of a reassembled PDU]
151 1.019948 172.27.136.12 114.212.128.2 TCP 1514 65338  >  80 [ACK] Seq = 117610 Ack = 1 Win = 65536 Len = 1460 [TCP segment of a reassembled PDU]
